ime,opis,cena
"""Mala muca""","

                            Oddam muco, vajena bivanja v stanovanju, navajena na wc, zelo igriva in nežna. Tel 031424930",Podarim
"""Hišna maèka""","

                            podarim hišno maèko, stara je leto in pol, je bele barve. Je navajena hišnega življenja saj je bila leto in pol v hiši, je nauèena lulat in kakat v maèje",Podarim
"""Podarim maèko""","

                            Podarim 2, 5 meseca staro samicko. Je zdrava, prijazna in druzabna. Prevzem na domacem naslovu. Okolica Kranja. 031 733 499 Lp","<span>0,10 €</span>"
"""Britanke""","

                            Imamo nekaj mladièkov britanke za oddajo, zelo ljubki, igrivi. So vajeni èistoèe in vse hrane, . Mama je sive barve, ata je Britanec -siamski, oba na slikah.","<span>170,00 €</span>"
"""Maèice Frida, Ulf in Fredo išèejo topel dom""","

                            Oddam male maèice dobrim ljudem. Frida je z belo dlako, z modrimi šèmi, zelo prijazna in mirna. Sesalnika se ne boji. Fredo je progast prijazen maèek,",Podarim
"""SIAMSKA MAÈKA èistokrvna""","

                            Prodamo dobro leto staro siamsko maèko (rd.30.7.2017). Je èistokrvna vendar brez papirjev. Maèka je sterilizirana in redno dobiva sredstvo proti zajedalcem.","<span>200,00 €</span>"
"""Perzijska muca""","

                            Prodam perzijsko muco....zdrava in zelo lepa...tel.041830278","<span>220,00 €</span>"
"""BRITANKE - MLADIÈKI""","

                            Sporoèam, da se nam je v zaèetku meseca septemba skotilo 6 preèudovitoh britanskih mladièkov. Mladièki so èistokrvni, vendar brez rodovnika. Na voljo je","<span>300,00 €</span>"
"""mucki-trio""","

                            Mladi mucki-trio od lastnika odvrženi, ter šiksalu prepušèeni išèejo dober dom. Ker imamo še 5 muck, katere so imele enak šiksal, jih ne moremo obdržati,",Podarim
"""Lucky in Lorna""","

                            Še ne enoletna Lucky in Lorna sta veterinarsko pregledana, negativna na FIV/FeLV, oèišèena zajedalcev in sterilizirana/kastriran. Išèeta ljubeè in varen",Podarim
"""Podarim muce""","

                            Podarim male muce, stare 2.5 meseca!",Podarim
"""Muce za vsak okus""","

                            Dobrim ljudem, ljubiteljem živali, ki ste jim pripravljeni ponuditi prijazno zavetje in dom, podarimo ljubke, zdrave in živahne mucke, vajene bivanja v",Podarim
"""Podarim mucko""","

                            Podarim mucko, staro 6 mesecev, zelo cartljivo, igrivo, je vse, ni izbircna. Ni se pa bila cepljena. Podarim jo zaradi pomanjkanja prostega casa in je",Podarim
"""Lubica &amp; Miki (pomagamo pri oddaji)""","

                            Lubica in Miki sta se zatekla h gospe, ki ve, da ni dovolj maèke samo hraniti. Tako sta Lubica in Miki sterilizirana/kastriran, gospa jima redno odpravlja",Podarim
"""krasen parèek Pupa in Nace (DZZŽ Kranj)""","

                            Nace in Pupa sta prekrasen maèji parèek, stara 3 mesece, ki išèe dom. Karakterno sta prijazna, nežna in igriva, z vsemi združljiva maèja mladièka. Oddajata",Po dogovoru
"""Princeska Lola in njen princ Loki (DZZŽ Kranj)""","

                            Loki in Lola sta maèja mladièa, ki sta pri meni že od svojega 5.tedna. Temu primerno sta zelo razvajena in zelo scartana. Sta tudi zelo živahna in radovedna",Po dogovoru
"""Mali razigrani Jakec (DZZŽ Kranj)""","

                            Mali Jakec je bil skoten ocenjeno v zaèetku julija. Je razglistan, razbolhan, testiran na Fiv in Felv (oboje neg.) in cepljen, pred oddajo bo še kastriran",Po dogovoru
"""Lepa in prijazna Miša išèe dom (pomagamo pri oddaji)""","

                            Miša je mlada, lepa in prijazna muca, ki išèe nov dom. Zelo rada se carta, razume se z maèki, z maèkam prijaznim psom, z otroki in odraslimi. Je sobno",Podarim
"""Lepotica Mica išèe dom (DZZŽ Kranj)""","

                            Mica je mlada odrasla muca, ocenjeno stara 3 leta, ki ji življenje ni prizaneslo. K najditeljici se je zatekla shirana in vsa šibka, s slabo dlako, kar",Podarim
"""Mala lepotièka Arya (DZZŽ Kranj)""","

                            Arya je mala maèkonka, stara 4 mesece. Karakterno je prijazna, igriva, rahlo zadržana, nežna maèja mladièka. Rada ima družbo muc, zato bo v nov dom odšla",Po dogovoru
